"X1","SampleSite","OTU","baseMean","l2FC","SE","pvalue","Kingdom","Phylum","Class","Order","Family","Genus","Species","padj"
"1","Point","New.ReferenceOTU739",368.497837616666,-1.37427646082708,0.23545181662386,5.32247071885107e-09,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae",NA,NA,1.2187686573601e-07
"1","Point","New.ReferenceOTU325",8.26204945467477,0.190895116935501,0.866386767846059,NA,"Bacteria","Cyanobacteria","Synechococcophycideae","Pseudanabaenales","Pseudanabaenaceae",NA,NA,NA
"1","Point","New.ReferenceOTU324",38.0652629426037,-2.59997900486418,0.416161297033008,4.17001797844296e-10,"Bacteria","GN02","GKS2-174",NA,NA,NA,NA,1.11548811409951e-08
"1","Point","New.ReferenceOTU321",43.1803110735361,-0.578029429716508,0.188742929582059,0.0021948012565188,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,0.0136566285774218
"1","Point","New.ReferenceOTU320",13.5041227893105,-0.385414686704261,0.356931709976048,0.280231467985051,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales",NA,NA,NA,0.502761982683248
"1","Point","New.ReferenceOTU732",11.5927809213656,1.0258943189437,0.323586576130484,0.0015223660764083,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,0.01000834286016
"1","Point","New.ReferenceOTU734",24.560455778156,-0.0660437169189539,0.466945969357598,0.88752425284529,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Saprospiraceae",NA,NA,0.943878159857903
"1","Point","New.ReferenceOTU735",20.1172906665073,0.337605511041708,0.372960550625974,0.365357140289699,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,0.589245609041569
"1","Point","New.ReferenceOTU328",16.8781632406276,-4.55395423572202,0.737833861577128,6.74062721783307e-10,"Bacteria","TM7","TM7-1",NA,NA,NA,NA,1.71777274260907e-08
"1","Point","New.ReferenceOTU948",39.8743710496766,0.535163751704319,0.281656119933476,0.0574251416110684,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]",NA,NA,0.174149181853144
"1","Point","New.ReferenceOTU478",138.531606932086,4.14368604424424,0.494517100283974,5.3262703525073e-17,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA,3.60664592441209e-15
"1","Point","New.ReferenceOTU1098",45.4496934280527,0.486532008317881,0.363178774346497,0.180359551292996,"Bacteria","Proteobacteria","TA18","PHOS-HD29",NA,NA,NA,0.379957454723912
"1","Point","New.ReferenceOTU492",755.287320867921,-1.31138010557776,0.14688543404751,4.34128065689121e-19,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,3.67458398458292e-17
"1","Point","New.ReferenceOTU493",14.6501723034753,-2.41531647239021,0.392294406558649,7.4183801510183e-10,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]",NA,NA,NA,1.87037882530993e-08
"1","Point","New.ReferenceOTU785",30.9182601975922,1.40308928807081,0.4433826331075,0.00155343707610053,NA,NA,NA,NA,NA,NA,NA,0.0101562644699538
"1","Point","New.ReferenceOTU787",262.978984539377,3.61810221863511,0.478103028151765,3.80122880460765e-14,NA,NA,NA,NA,NA,NA,NA,1.87685672227503e-12
"1","Point","New.ReferenceOTU780",14.0957629529918,4.10315468728169,0.649640229625361,2.68347916858349e-10,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,7.39516933667776e-09
"1","Point","New.ReferenceOTU782",3.73027809507771,-1.69843960307742,0.554604077090494,0.00219543269535768,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,0.0136566285774218
"1","Point","New.ReferenceOTU424",6.59856459923768,-0.11833107911902,0.494164000512223,0.810751157133192,"Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae",NA,NA,0.903147246890144
"1","Point","New.ReferenceOTU425",605.53875870998,3.25125354395687,0.302469553169046,5.9889712258355e-27,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Saprospiraceae",NA,NA,1.66986609473296e-24
"1","Point","New.ReferenceOTU420",138.637697354646,-0.598981448170824,0.331085537806323,0.0704286189790041,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA,NA,0.200138881271271
"1","Point","New.ReferenceOTU421",1.15534717355235,1.14074269454102,0.752452674186135,0.129511139443262,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,0.308949572703102
"1","Point","New.ReferenceOTU422",1.20480620460227,0.240922042589631,0.65608442810057,0.713460925806491,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,0.850624101817505
"1","Point","New.ReferenceOTU423",348.865112189556,0.273394890938866,0.258323187564596,0.289898471855564,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA,0.512922268232688
"1","Point","New.ReferenceOTU132",56.9204575905648,-0.149308297972837,0.370179630844784,0.686698028646745,NA,NA,NA,NA,NA,NA,NA,0.83355344792554
"1","Point","New.ReferenceOTU130",0.507715260300725,1.34733675509282,1.02947623798785,0.190615846678219,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Saprospiraceae",NA,NA,0.393957857009688
"1","Point","New.ReferenceOTU131",87.7906884635833,-0.610513124214677,0.258851108674397,0.0183465182753787,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Saprospiraceae",NA,NA,0.0736346288105799
